Sentença;Pergunta;Resposta esperada;Item;Grupo
Maria_foi_à_loja. Ela comprou_uma_blusa, apesar de_não_precisar. Estava_calor naquela tarde de_sexta.;Tem motivo para a mulher comprar uma blusa?;Não ;D_34;GS
A_mulher_tem_um_filho. Ela levou_o_filho para_a_escola e_depois para_a_natação naquela manhã de_quarta.;A mulher levou o filho para a escola antes da natação?;Sim;D_35;GS
Davi_chegou_em_casa. Depois de_comer_pizza, ele bebeu_o_suco. Estava_quente naquela noite de_quinta.;Davi bebeu o suco antes de comer a pizza?;Não ;D_36;GS
